Total runtime (s),Hits channel 1,Hits channel 2,Lifetimes (ns),Delta times (ns),Total coincidences
,,,740,-1.5,
,,,140,-4.5,
,,,830,-9.0,
,,,980,-4.0,
,,,1660,-1.0,
,,,1340,-7.5,
,,,4080,-10.5,
,,,780,-8.0,
,,,3060,-6.5,
,,,230,-1.0,
,,,3370,-12.0,
,,,890,2.0,
,,,560,-17.5,
,,,1080,-12.0,
,,,2750,-7.0,
,,,4400,-1.5,
,,,430,-7.0,
,,,2080,-2.5,
,,,290,-10.5,
,,,2460,-13.0,
,,,430,-9.5,
,,,1370,-6.0,
,,,1680,-8.0,
,,,4750,-3.0,
,,,4690,-3.5,
,,,1850,-3.5,
,,,16900,-8.0,
,,,760,-2.0,
,,,4230,-9.0,
,,,1940,-8.0,
,,,2040,-11.5,
,,,1440,2.0,
,,,500,4.0,
,,,250,-10.5,
,,,1490,-3.5,
,,,1820,-5.0,
,,,1900,-6.0,
,,,590,1.0,
,,,19250,-7.5,
,,,3380,-6.0,
,,,20030,-0.5,
,,,1600,-6.5,
,,,1550,-7.0,
,,,6630,6.5,
,,,340,-8.0,
,,,160,-4.5,
,,,630,-11.0,
,,,1800,-7.0,
,,,1980,0.5,
,,,2030,5.5,
,,,6490,-7.0,
,,,210,-1.0,
,,,2770,11.5,
,,,840,-5.5,
,,,310,-13.0,
,,,1160,-0.5,
,,,4950,-2.0,
,,,910,-2.5,
,,,1330,-9.5,
,,,2530,-3.0,
,,,14190,-1.0,
,,,2220,2.0,
,,,16650,-11.5,
,,,960,-2.0,
,,,2610,-9.5,
,,,590,-3.5,
,,,2680,-1.0,
,,,5470,-6.5,
,,,630,-1.0,
,,,4720,-9.0,
,,,330,-2.5,
,,,3940,-11.5,
,,,3400,-1.0,
,,,280,2.0,
,,,820,-2.0,
,,,1140,-5.0,
,,,830,0.0,
,,,450,-6.0,
,,,940,-1.5,
,,,560,-7.5,
,,,850,-8.0,
,,,2940,-7.0,
,,,660,-3.5,
,,,7390,-5.5,
,,,11800,0.5,
,,,540,-10.5,
,,,2400,-1.0,
,,,1940,0.0,
,,,580,-9.0,
,,,640,5.5,
,,,1330,-3.0,
,,,760,3.5,
,,,3660,-2.5,
,,,840,-8.0,
,,,1550,5.5,
,,,1140,-4.5,
,,,2580,-3.5,
,,,1110,-4.0,
,,,2240,-16.0,
,,,1730,-11.0,
,,,240,-7.0,
,,,860,-12.0,
,,,2460,-12.0,
,,,650,-2.5,
,,,970,5.5,
,,,1670,-3.0,
,,,1090,-8.0,
,,,1030,-6.0,
,,,6580,-3.0,
,,,1910,-3.5,
,,,3420,-10.0,
,,,500,-18.0,
,,,730,-7.5,
,,,3050,-5.5,
